request_id,account,ea_session,symbol,server_time,session_code,killzone_code,action,final_category,final_category_detail,category,reason,events,prior_request_id,prior_age_minutes,ttl_minutes,decision_tier,decision_source,decision_state,python_final_allow,model_family,recorded,final_resolver_reason,adjudicator_ran,analyst_selected_state,consumed_sweep_all_candidates
591813800_1788495063_34619250_1788503358_#Germany40_19962,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788505184_#Germany40_17844,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788507010_#Germany40_13543,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788508836_#Germany40_9246,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788510662_#Germany40_26505,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788512485_#Germany40_13962,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788514311_#Germany40_20550,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788516137_#Germany40_1858,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788517962_#Germany40_17501,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788519787_#Germany40_4615,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788521613_#Germany40_6642,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788523439_#Germany40_30110,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788525265_#Germany40_15327,591813800,591813800_1788495063_34619250,#Germany40,1788503048,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,24886.016666666666,0.0,DEGRADED_NON_TRADING,provider_transport_error,REJECT,False,other,non_full_structured_decision,,False,,
591813800_1788495063_34619250_1788527106_#Germany40_26232,591813800,591813800_1788495063_34619250,#Germany40,1788527106,LON,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+runtime_input_hash|session_transition|killzone_transition|request_state:po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786999708_97504390_1787009887_#Germany40_23129,25286.983333333334,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1788837043_120154281_1788837050_#Germany40_11885,591813800,591813800_1788837043_120154281,#Germany40,1788837049,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:decision_input_hash+runtime_input_hash|session_transition|request_state:po3.context_tier+po3.developing_bos+po3.has_bos+po3.htf_bos+po3.htf_choch+po3.htf_mss+po3.ltf_choch+po3.ltf_mss+po3.po3_state+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1788495063_34619250_1788527106_#Germany40_26232,5165.716666666666,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1788837043_120154281_1788838257_#Germany40_30263,591813800,591813800_1788837043_120154281,#Germany40,1788838256,ASIA,NK,REUSE,UNCHANGED_STATE,unchanged_decisive_non_approval_within_ttl,UNCHANGED_STATE,unchanged_decisive_non_approval_within_ttl,,591813800_1788837043_120154281_1788837050_#Germany40_11885,20.116666666666667,30.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,,analyst_reject,False,REJECT,
591813800_1788837043_120154281_1788838861_#Germany40_23286,591813800,591813800_1788837043_120154281,#Germany40,1788838861,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,price_drift|new_candidate,591813800_1788837043_120154281_1788837050_#Germany40_11885,30.2,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1788837043_120154281_1788840069_#Germany40_23188,591813800,591813800_1788837043_120154281,#Germany40,1788840068,ASIA,NK,CALL,REQUIRED_NEW_DECISION,meaningful_change,REQUIRED_NEW_DECISION,meaningful_change,regime_label,591813800_1788837043_120154281_1788838861_#Germany40_23286,20.116666666666667,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1788837043_120154281_1788841277_#Germany40_5208,591813800,591813800_1788837043_120154281,#Germany40,1788841276,ASIA,NK,REUSE,UNCHANGED_STATE,unchanged_decisive_non_approval_within_ttl,UNCHANGED_STATE,unchanged_decisive_non_approval_within_ttl,,591813800_1788837043_120154281_1788840069_#Germany40_23188,20.133333333333333,30.0,FULL_STRUCTURED,ai_approved,APPROVE,True,luna,,adjudicator_resolved_qualitative_dispute,True,APPROVE,
591813800_1788837043_120154281_1788843091_#Germany40_7893,591813800,591813800_1788837043_120154281,#Germany40,1788843091,ASIA,NK,CALL,OTHER_REQUIRED,decisive_prior_ttl_expired,OTHER_REQUIRED,decisive_prior_ttl_expired,,591813800_1788837043_120154281_1788840069_#Germany40_23188,50.38333333333333,30.0,FULL_STRUCTURED,ai_approved,APPROVE,True,luna,stored,analyst_approve_critic_pass,False,APPROVE,
591813800_1788837043_120154281_1788844299_#Germany40_9560,591813800,591813800_1788837043_120154281,#Germany40,1788844299,ASIA,NK,CALL,REQUIRED_NEW_DECISION,prior_decision_approved_never_reused,REQUIRED_NEW_DECISION,prior_decision_approved_never_reused,,591813800_1788837043_120154281_1788843091_#Germany40_7893,20.133333333333333,0.0,FULL_STRUCTURED,ai_approved,APPROVE,True,luna,stored,analyst_approve_critic_pass,False,APPROVE,
591813800_1788837043_120154281_1788857594_#Germany40_27416,591813800,591813800_1788837043_120154281,#Germany40,1788857593,ASIA,NK,CALL,REQUIRED_NEW_DECISION,prior_decision_approved_never_reused,REQUIRED_NEW_DECISION,prior_decision_approved_never_reused,,591813800_1788837043_120154281_1788844299_#Germany40_9560,221.56666666666666,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1788837043_120154281_1788872101_#Germany40_16241,591813800,591813800_1788837043_120154281,#Germany40,1788872100,ASIA,K,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,killzone_transition|request_state:po3.developing_bos+po3.has_follow_through+po3.has_sweep+po3.liquidity_kind+po3.ltf_bos+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.sweep_side+po3.t_disp+po3.t_sweep|new_candidate,591813800_1788837043_120154281_1788857594_#Germany40_27416,241.78333333333333,0.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,stored,analyst_reject,False,REJECT,
591813800_1788837043_120154281_1788876940_#Germany40_24030,591813800,591813800_1788837043_120154281,#Germany40,1788876940,LON,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,session_transition|killzone_transition|request_state:po3.t_disp+po3.t_sweep|new_candidate,591813800_1788837043_120154281_1788872101_#Germany40_16241,80.66666666666667,0.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,stored,analyst_reject,False,REJECT,
591813800_1788837043_120154281_1788878149_#Germany40_28329,591813800,591813800_1788837043_120154281,#Germany40,1788878149,LON,NK,CALL,OTHER_REQUIRED,decisive_prior_ttl_expired,OTHER_REQUIRED,decisive_prior_ttl_expired,,591813800_1788837043_120154281_1788876940_#Germany40_24030,20.15,15.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,stored,analyst_reject,False,REJECT,
591813800_1788837043_120154281_1788879961_#Germany40_17789,591813800,591813800_1788837043_120154281,#Germany40,1788879960,LON,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,request_state:po3.liquidity_kind+po3.structure_type+po3.sweep_side+po3.t_disp+po3.t_sweep|new_candidate,591813800_1788837043_120154281_1788878149_#Germany40_28329,30.183333333333334,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1788837043_120154281_1788881169_#Germany40_9113,591813800,591813800_1788837043_120154281,#Germany40,1788881168,LON,NK,CALL,OTHER_REQUIRED,borderline_prior_requires_fresh_review,OTHER_REQUIRED,borderline_prior_requires_fresh_review,,591813800_1788837043_120154281_1788879961_#Germany40_17789,20.133333333333333,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_dispute_unresolved,True,ABSTAIN,
591813800_1788837043_120154281_1788882377_#Germany40_23937,591813800,591813800_1788837043_120154281,#Germany40,1788882377,LON,NK,CALL,UNKNOWN,no_archived_decision,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,new_candidate,591813800_1788837043_120154281_1788881169_#Germany40_9113,20.15,0.0,,,,False,unknown,,,False,,
591813800_1788891743_174857593_1788891764_#Germany40_13674,591813800,591813800_1788891743_174857593,#Germany40,1788891764,LON,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:decision_input_hash+python.family_profile_version+python.model_id+python.prompt_contract_version+python.provider_id+runtime_input_hash|request_state:po3.developing_bos+po3.has_sweep+po3.liquidity_kind+po3.ltf_bos+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.sweep_side+po3.t_disp+po3.t_sweep|new_candidate,591813800_1788837043_120154281_1788881169_#Germany40_9113,176.6,0.0,DEGRADED_NON_TRADING,local_pipeline_error,REJECT,False,luna,non_full_structured_decision,,False,,
591813800_1788891952_175066921_1788891963_#Germany40_9729,591813800,591813800_1788891952_175066921,#Germany40,1788891962,LON,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:decision_input_hash+python.family_profile_version+python.prompt_contract_version+runtime_input_hash|request_state:po3.developing_bos+po3.has_sweep+po3.liquidity_kind+po3.ltf_bos+po3.ltf_choch+po3.ltf_mss+po3.structure_type+po3.sweep_side+po3.t_disp+po3.t_sweep|new_candidate,591813800_1788837043_120154281_1788881169_#Germany40_9113,179.9,0.0,DEGRADED_NON_TRADING,local_pipeline_error,REJECT,False,luna,non_full_structured_decision,,False,,
591813800_1788925102_208218984_1788930616_#Germany40_24747,591813800,591813800_1788925102_208218984,#Germany40,1788930616,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,identity:contract_manifest_hash+decision_input_hash+python.family_profile_version+python.model_id+python.provider_id+runtime_input_hash|session_transition|request_state:is_buy+po3.liquidity_kind+po3.t_disp|new_candidate,591813800_1788837043_120154281_1788881169_#Germany40_9113,824.1333333333333,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1788925102_208218984_1788933644_#Germany40_1529,591813800,591813800_1788925102_208218984,#Germany40,1788933644,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,price_drift|new_candidate,591813800_1788925102_208218984_1788930616_#Germany40_24747,50.46666666666667,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_dispute_unresolved,True,ABSTAIN,
591813800_1788925102_208218984_1788947641_#Germany40_11693,591813800,591813800_1788925102_208218984,#Germany40,1788947640,ASIA,NK,CALL,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,SCHEDULED_REVIEW_WITH_MEANINGFUL_CHANGE,meaningful_change,request_state:po3.t_disp|new_candidate,591813800_1788925102_208218984_1788933644_#Germany40_1529,233.26666666666668,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,analyst_abstain_below_adjudication_floor,False,ABSTAIN,
591813800_1786661610_19471531_1786664408_#Germany50_1084,591813800,591813800_1786661610_19471531,#Germany50,1786664408,NY,K,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_rejected,REJECT,False,luna,stored,qualitative_block_upheld,True,REJECT,
591813800_1788540249_79807218_1788544883_#HongKong50_13049,591813800,591813800_1788540249_79807218,#HongKong50,1788544882,LON,NK,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,luna,stored,qualitative_block_upheld,True,ABSTAIN,
591813800_1786509126_394060796_1786509841_#Japan225_30474,591813800,591813800_1786509126_394060796,#Japan225,1786509841,ASIA,NK,CALL,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,REQUIRED_NEW_DECISION,no_prior_authoritative_decision,,,,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,other,stored,qualitative_dispute_unresolved,True,ABSTAIN,
591813800_1786509126_394060796_1786510154_#Japan225_19134,591813800,591813800_1786509126_394060796,#Japan225,1786510153,ASIA,NK,CALL,REQUIRED_NEW_DECISION,meaningful_change,REQUIRED_NEW_DECISION,meaningful_change,request_state:po3.context_tier+po3.developing_bos+po3.has_bos+po3.htf_bos+po3.htf_choch+po3.htf_mss+po3.liquidity_kind+po3.po3_state+po3.structure_type+po3.t_bos+po3.t_disp+po3.t_sweep|new_candidate,591813800_1786509126_394060796_1786509841_#Japan225_30474,5.2,0.0,FULL_STRUCTURED,ai_abstained,ABSTAIN,False,other,stored,qualitative_dispute_unresolved,True,ABSTAIN,
