id,audit_request_id,candidate_index,setup_family,setup_taxonomy_enum,entry_branch,decision_state,analyst_decision_state,python_final_allow,final_resolver_reason,rejection_codes,historical_evidence_state,repeatability_status,repeatability_required_live,missing_required_evidence,missing_confirmations,reasons,summary,llm_quality_score
,591813800_1788837043_120154281_1788838257_EURJPY_24190,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner continuation confirmation""]","The required micro sequence is not explicitly contradicted, but continuation evidence is thin: retest quality and continuation score are low, while structure confirmation is absent.","Valid continuation FVG and strong displacement exist, but low retest quality, weak continuation score, absent structure confirmation, and non-killzone timing leave follow-through unclear.",5.2
,591813800_1788837043_120154281_1788838257_EURJPY_24190,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner continuation confirmation""]","The required micro sequence is not explicitly contradicted, but continuation evidence remains weak: retest quality and continuation score are low, structure confirmation is absent, and timing is outside the killzone.","Mid-FVG entry is valid with strong displacement and attractive net RR, but low retest quality, weak continuation score, absent structure confirmation, and non-killzone timing make follow-through uncertain.",5.4
,591813800_1788837043_120154281_1788838257_EURJPY_24190,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner continuation confirmation""]","The required micro sequence is not explicitly contradicted, but the edge entry has weak continuation evidence, very low retest quality, absent structure confirmation, and non-killzone timing.","Edge entry remains structurally valid, but low retest quality, weak continuation score, absent structure confirmation, and non-killzone timing provide insufficient evidence for reliable continuation.",4.9
,591813800_1788837043_120154281_1788838258_CHFJPY_28291,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer trend confirmation""]","ABSTAIN: the continuation displacement and virgin FVG are valid, but structure confirmation and retest quality are weak, while applicable historical evidence is insufficient.","Displacement and virgin FVG are present, but trend context and structure confirmation remain weak. Historical evidence is insufficient for this FX symbol, so capital deployment is not justified.",5.2
,591813800_1788837043_120154281_1788838258_CHFJPY_28291,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer trend confirmation""]","ABSTAIN: valid displacement and FVG evidence exist, but continuation-reentry confirmation is weak and applicable historical evidence is insufficient for this FX symbol.","The displacement and virgin continuation FVG are intact, but the continuation-reentry thesis lacks strong structure confirmation. Applicable history is insufficient, so the setup should not be funded.",4.8
,591813800_1788837043_120154281_1788838258_CHFJPY_28291,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer trend confirmation""]","ABSTAIN: displacement and FVG validity are present, but edge-entry follow-through is unclear and applicable historical evidence is insufficient for this FX symbol.","The edge entry uses an intact virgin FVG with strong displacement, but structure confirmation and retest quality are insufficient. Cross-asset history cannot support approval, so abstention is required.",4.5
,591813800_1788837043_120154281_1788838258_USDJPY_25734,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clean continuation retest"", ""Structure confirmation""]","The required micro sequence is observed, but continuation confirmation and retest quality are weak. Historical outcomes cannot be applied reliably across the mismatched asset-class prior, so abstention is safer.","Displacement, trend context, and a virgin continuation FVG are present, but weak retest quality, absent structure confirmation, off-killzone timing, and synthetic fallback targeting leave follow-through uncertain.",5.0
,591813800_1788837043_120154281_1788838258_USDJPY_25734,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clean continuation retest"", ""Structure confirmation""]","The required micro sequence is present, but edge entry quality is not enough to offset weak retest evidence and absent structure confirmation. Historical evidence is not asset-class applicable; abstain pending stronger confirmation.","The edge entry uses a fresh, unmitigated continuation FVG with strong displacement, but structure confirmation and retest quality are weak; off-killzone timing and synthetic targeting reduce execution confidence.",4.9
,591813800_1788837043_120154281_1788838861_#Germany40_23286,0,,MICRO_BREAKER_RETEST,,REJECT,REJECT,False,,"[""WEAK_RETEST"", ""NEARBY_OBSTACLE""]",MIXED,,,[],[],"Reject: the breaker identity is present, but retest quality is only 1.0479 and the opposing imbalance is 0.14R away, making post-entry failure materially likely.","The breaker is structurally valid but the retest quality is exceptionally weak and a nearby opposing imbalance limits follow-through. Historical analogues are mixed, so capital should be withheld.",4.8
,591813800_1788837043_120154281_1788838861_#Germany40_23286,1,,MICRO_RANGE_REENTRY,,REJECT,REJECT,False,,"[""REGIME_CONTRADICTION"", ""RANGE_NOT_ESTABLISHED""]",MIXED,,,[],[],"Reject: MICRO_RANGE_REENTRY requires compression and containment, but expansion score is 0.868643 versus compression 0.131357, directly contradicting the setup thesis.","This candidate claims range reentry, but the observed market is expansion-dominant with very low compression. That directly contradicts the family thesis despite a valid FVG and feasible current target.",2.2
,591813800_1788837043_120154281_1788838861_#Germany40_23286,2,,MICRO_FVG_EDGE_REVERSAL,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer higher-timeframe directional alignment""]","Abstain: the virgin FVG edge and displacement sequence are valid, but HTF alignment is mixed and the nearby opposing imbalance makes follow-through and target survival uncertain.","The virgin FVG edge is valid and the required displacement/FVG sequence is present, but mixed higher-timeframe context, nearby obstruction, and insufficient applicable history leave follow-through uncertain.",5.9
,591813800_1788837043_120154281_1788838861_EURJPY_19753,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Stronger continuation confirmation""]","The required micro sequence is supplied, but weak retest quality, low sequence quality, non-killzone timing, and insufficient applicable history leave follow-through uncertain.","Displacement, trend context, virgin continuation FVG, and feasible current target are present. Retest quality and sequence quality are weak, while applicable historical evidence is insufficient; abstain.",5.4
,591813800_1788837043_120154281_1788838861_EURJPY_19753,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Stronger continuation confirmation""]","The required micro sequence is present, but edge entry timing does not resolve weak retest quality, low sequence quality, non-killzone conditions, and insufficient applicable history.","The edge entry has a fresh continuation FVG and strong displacement, but weak retest quality, low sequence quality, non-killzone timing, and insufficient applicable history do not justify capital.",5.2
,591813800_1788837043_120154281_1788838861_EURJPY_19753,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Stronger continuation confirmation""]","The required micro sequence is supplied, but midpoint entry quality remains uncertain due to weak retest and sequence quality, non-killzone timing, and insufficient applicable history.","The midpoint entry has strong displacement, a fresh continuation FVG, and a feasible target, but weak retest and sequence quality plus insufficient applicable history warrant abstention.",5.3
,591813800_1788837043_120154281_1788838861_USDJPY_21716,0,,MICRO_CONTINUATION_FVG,,REJECT,REJECT,False,,"[""missing_trend_context"", ""adverse_history""]",ADVERSE,,,"[""trend context""]","[""Trend context""]","Reject because the required trend context is not established and the available close analogues are adverse. The FVG is fresh, but displacement alone does not validate continuation.","Reject: the virgin FVG and displacement are valid, but required trend context is not convincingly established and the close historical analogues are predominantly stop-outs.",5.8
,591813800_1788837043_120154281_1788838861_USDJPY_21716,2,,MICRO_CONTINUATION_FVG,,REJECT,REJECT,False,,"[""missing_trend_context"", ""obstacle_conflict"", ""adverse_history""]",ADVERSE,,,"[""trend context""]","[""Trend context""]",Reject because the continuation thesis is not supported by confirmed trend context and the fresh nearby obstacle blocks the preferred liquidity route. Historical analogues are predominantly stop-outs.,"Reject: displacement and FVG freshness are positive, but trend context is unresolved and the fresh nearby obstacle materially weakens continuation follow-through; close analogues are adverse.",5.2
,591813800_1788837043_120154281_1788838861_USDJPY_21716,3,,MICRO_CONTINUATION_FVG,,REJECT,REJECT,False,,"[""missing_trend_context"", ""obstacle_conflict"", ""adverse_history""]",ADVERSE,,,"[""trend context""]","[""Trend context""]","Reject because the continuation thesis lacks confirmed trend context and the fresh nearby obstacle blocks the preferred route. The mid FVG is valid, but entry quality cannot offset the structural conflict.","Reject: the mid-entry FVG is fresh and displacement is strong, but required trend context remains unresolved; the nearby obstacle and adverse analogues do not support risking capital.",5.5
,591813800_1788837043_120154281_1788839465_EURGBP_13035,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer continuation confirmation.""]","Evidence is mixed: the virgin FVG and displacement are valid, but sequence quality is low, HTF alignment is modest, the liquidity path is obstructed, and applicable history is insufficient.","Fresh continuation FVG and strong displacement support the thesis, but weak alignment, low sequence quality, obstacle proximity, and insufficient asset-class history make follow-through unclear.",5.1
,591813800_1788837043_120154281_1788839465_EURGBP_13035,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer continuation confirmation.""]","The entry is technically valid, but low sequence quality, modest HTF alignment, a fresh opposing imbalance, and insufficient asset-class history leave follow-through unresolved.","Continuation reentry has a fresh FVG and strong displacement, but weak alignment, low sequence quality, obstacle risk, and insufficient applicable history do not support a confident live entry.",4.9
,591813800_1788837043_120154281_1788839465_EURGBP_13035,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Clearer continuation confirmation.""]","The virgin edge entry and displacement support the thesis, but low sequence quality, modest HTF alignment, the fresh obstacle, and insufficient applicable history leave timing and follow-through unclear.","The edge entry remains a valid virgin continuation FVG, but modest alignment, low sequence quality, obstacle proximity, and insufficient applicable history make the edge reaction and follow-through uncertain.",4.7
,591813800_1788837043_120154281_1788839465_EURJPY_27959,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Confirmed continuation structure""]","Displacement and FVG validity are supportive, but trend context and structure confirmation remain unresolved; the continuation thesis is not sufficiently established for live capital.","Strong displacement and virgin FVG are present, but continuation structure confirmation is missing and retest quality is weak. Asset-class history is insufficient; abstain.",5.2
,591813800_1788837043_120154281_1788839465_EURJPY_27959,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Confirmed continuation structure""]",A high-quality displacement and valid virgin FVG do not offset absent continuation structure confirmation and weak retest quality; edge entry does not resolve the evidentiary gap.,"The virgin continuation FVG and displacement are valid, but structure confirmation and retest quality are insufficient. Asset-class history cannot support the decision; abstain.",5.0
,591813800_1788837043_120154281_1788839465_EURJPY_27959,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Confirmed continuation structure""]","The fresh FVG and strong displacement are supportive, but the required trend context is not convincingly established and retest quality is weak; no capital approval is justified.","Displacement and a fresh continuation FVG support the idea, but missing structure confirmation and weak retest quality leave follow-through unclear. Abstain despite feasible current target.",5.1
,591813800_1788837043_120154281_1788839465_USDJPY_7581,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Structure continuation confirmation""]","Required micro sequence is broadly observed, but the weak retest and unresolved structural confirmation leave follow-through uncertain. Asset-class history is insufficient; abstention is safer than assuming the analogue results transfer.","Virgin continuation FVG and strong displacement are present, but retest quality and sequence confirmation are weak. Historical analogues are not asset-class applicable, so evidence does not support capital deployment.",5.8
,591813800_1788837043_120154281_1788839465_USDJPY_7581,3,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner edge retest"", ""Structure continuation confirmation""]","Displacement and FVG freshness support the thesis, but retest quality is weak and no structure confirmation is observed. With insufficient asset-class history, the edge entry does not justify an approval.","The continuation FVG remains virgin and displacement is strong, but the edge entry lacks convincing retest or structure confirmation. Historical evidence cannot be applied to this FX candidate.",5.6
,591813800_1788837043_120154281_1788839465_USDJPY_7581,4,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Structure continuation confirmation""]","Mid-entry and target are deterministic and feasible; the obstacle is explicitly minor. However, retest quality and structural confirmation remain weak, while applicable historical evidence is insufficient.","Mid-entry has strong displacement and a fresh FVG, but the nearby minor obstacle and weak retest reduce follow-through confidence. Target arbitration is coherent, yet history is not applicable.",5.9
,591813800_1788837043_120154281_1788840069_#Germany40_23188,0,,MICRO_BREAKER_RETEST,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,[],[],"Required family context is present, but retest quality is weak and target selection is not sufficiently robust for approval.","The micro breaker thesis is structurally plausible and the FVG remains virgin, but weak retest quality, moderate alignment, mixed analogues, and target uncertainty do not justify capital.",5.2
,591813800_1788837043_120154281_1788840069_#Germany40_23188,2,,MICRO_RANGE_REENTRY,,REJECT,REJECT,False,,"[""structural_contradiction""]",SUPPORTIVE,,,[],[],The candidate's own range-reentry thesis conflicts with the observed expansion-dominant market regime.,The range-reentry thesis is contradicted by the expansion-dominant regime. Historical analogues cannot override the current structural conflict.,2.8
,591813800_1788837043_120154281_1788840069_#Germany40_23188,5,,MICRO_FVG_EDGE_REVERSAL,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],[],"The FVG edge remains tradable, but insufficient applicable history, mixed alignment, non-killzone timing, and obstacle proximity warrant abstention.","The virgin FVG edge and displacement support the reversal thesis, but applicable history is insufficient and adverse context plus the nearby obstacle leave follow-through unclear.",4.7
,591813800_1788837043_120154281_1788840069_EURJPY_17477,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Structural continuation confirmation""]","The required displacement and FVG are observed, but trend confirmation and retest quality are insufficiently strong for a live approval; no asset-class-valid historical prior supports the decision.","Displacement and continuation FVG are present and valid, but retest quality and sequence confirmation are weak; asset-class history is unusable, so execution should wait.",4.8
,591813800_1788837043_120154281_1788840069_EURJPY_17477,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Structural continuation confirmation""]","The continuation displacement and midpoint FVG entry are valid, but the weak retest, missing structure confirmation, and insufficient asset-class history make live follow-through uncertain.","The midpoint entry is valid within a fresh continuation FVG with strong displacement, but weak retest and absent structure confirmation leave follow-through uncertain.",4.9
,591813800_1788837043_120154281_1788840069_EURJPY_17477,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner retest"", ""Structural continuation confirmation""]","The edge FVG remains valid and displacement is strong, but retest quality and structure confirmation are weak; insufficient asset-class history prevents a confident live approval.","The edge entry uses a valid continuation FVG and strong displacement, but the weak retest and absent confirmation do not justify live risk despite feasible target geometry.",4.4
,591813800_1788837043_120154281_1788840069_GOLD_26497,0,,MICRO_OTE_REVERSAL,,ABSTAIN,ABSTAIN,False,,[],ADVERSE,,,[],"[""Sustained reaction away from the nearby obstacle""]","The declared context, displacement, and OTE retracement are evidenced, but bearish higher-timeframe context, a 0.0157R obstacle, and adverse small-sample history do not support an unqualified approval.","Required OTE reversal sequence is present and the FVG remains valid, but weak HTF alignment, adverse narrow history, and an immediate obstacle make execution outcome uncertain.",5.8
,591813800_1788837043_120154281_1788840069_GOLD_26497,1,,MICRO_BREAKER_RETEST,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,[],"[""Clear bullish reaction from the breaker""]","Required breaker formation and clean retest are declared, but retest quality is only 1.0903, higher-timeframe context conflicts with the bullish thesis, and history is mixed; abstention is safer than approval.","The breaker sequence is declared complete and the current target is feasible, but very weak retest quality, bearish higher-timeframe context, and mixed historical outcomes warrant no capital allocation.",5.9
,591813800_1788837043_120154281_1788840069_GOLD_26497,2,,MICRO_NESTED_CONTINUATION,,REJECT,REJECT,False,,"[""THESIS_CONTRADICTION""]",MIXED,,,[],"[""No additional mandatory evidence is missing; the supplied evidence is contradictory""]","Reject: the setup is taxonomy-labelled continuation, but supplied structured fields identify a reversal FVG with continuation score 2.0 and reversal score 7.5, creating a direct thesis contradiction.","The mandatory nested sequence is declared, but the candidate's continuation thesis is contradicted by reversal FVG classification, low continuation score, and stronger reversal evidence.",3.1
,591813800_1788837043_120154281_1788840069_USDJPY_23148,0,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner FVG retest"", ""Stronger session participation""]","The required displacement and continuation FVG are observed, but weak retest quality, absent killzone participation, and insufficient applicable history make follow-through uncertain.","Displacement and a fresh continuation FVG are present, but retest quality is weak and applicable historical evidence is unavailable. No capital approval despite feasible target.",5.0
,591813800_1788837043_120154281_1788840069_USDJPY_23148,1,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Cleaner edge reaction"", ""Stronger session participation""]","The continuation displacement and FVG entry are present, but edge-entry follow-through is uncertain because retest quality is weak and applicable historical evidence is unavailable.","The edge entry uses a fresh, valid continuation FVG with strong displacement, but retest quality and session participation are weak. Applicable historical evidence is insufficient for approval.",4.8
,591813800_1788837043_120154281_1788840069_USDJPY_23148,2,,MICRO_CONTINUATION_FVG,,ABSTAIN,ABSTAIN,False,,[],INSUFFICIENT_SAMPLE,,,[],"[""Obstacle clearance"", ""Cleaner mid-FVG reaction""]","The continuation sequence and fresh FVG are present, but the nearby opposing obstacle, weak retest, and insufficient applicable history leave target survival and follow-through unclear.","The mid-entry continuation FVG is valid and target RR is strong, but a nearby opposing obstacle and weak retest create execution uncertainty. Applicable historical evidence remains insufficient.",4.6
,591813800_1788837043_120154281_1788841277_#Germany40_5208,0,,MICRO_BREAKER_RETEST,,ABSTAIN,ABSTAIN,False,,[],MIXED,,,[],"[""Cleaner retest response""]","Required breaker sequence is not disproven, but weak retest quality and a nearby opposing imbalance leave execution and follow-through unresolved.","Breaker identity and virgin state are present, but the supplied retest quality is weak and the nearby opposing imbalance makes follow-through uncertain.",5.4
,591813800_1788837043_120154281_1788841277_#Germany40_5208,1,,MICRO_RANGE_REENTRY,,REJECT,REJECT,False,,"[""STRUCTURAL_THESIS_CONTRADICTION""]",MIXED,,,[],"[""Verified range compression""]","The candidate claims range reentry, yet the observed regime is expansion-dominant rather than range/compression; this directly contradicts the family hypothesis.","The range-reentry thesis is contradicted by an expansion-dominant regime, while the supplied obstacle further weakens containment and target clearance.",2.8
