id,symbol,tax,critic,codes,objections,critic_summary,analyst_summary,analyst_missing,candidate_id,entry,fvg_lower,fvg_mid,fvg_upper,asset_class_payload,asset_class_candidate,target_source,target_model,tp_model,target_required,keep_current_available,liquidity_available,selected_target,adjudicator
591813800_1788837043_120154281_1788852760_EURGBP_311,EURGBP,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence,"The required sequence includes declared source context, breaker formation, and clean retest, but the supplied evidence does not explicitly establish breaker formation or a clean-re",Mandatory family-sequence evidence is not explicitly established in the catalog.,"Breaker retest and displacement are supported, with a fresh touched FVG and valid current target. Nearby opposing imbalance and mixed analogues justify reduced risk.",,EURGBP|1788822000|1788829200|0|breaker_retest|0.85860|breaker_retest|0,0.85861,0.85858,0.858595,0.85861,,fx,asia_session_high,next_liquidity_session_range,asia_session_high,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788853364_GBPUSD_7310,GBPUSD,MICRO_BREAKER_RETEST,ABSTAIN,,,"The supplied evidence establishes source context and ordered sweep, displacement, and BOS timestamps, but does not explicitly establish all required family events for breaker formation and clean retest.","Breaker retest thesis is supported by ordered source context, breaker structure, virgin FVG, and valid retest state. Current feasible target is usable, but nearby obstruction and modest retest quality warrant reduced risk.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788854571_GBPUSD_25553,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure,"The candidate is identified as GBPUSD, but the canonical instrument asset_class field is empty, while the supplied historical/prior context is not asset-class applicable. This data",Blocked for material asset-class and historical-context integrity inconsistency.,"Breaker retest thesis is supported by ordered source, displacement, BOS and clean virgin retest evidence. Keep the feasible current target; nearby opposing imbalance raises execution risk.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788855779_EURUSD_15387,EURUSD,MICRO_RANGE_REENTRY,ABSTAIN,,,The supplied record does not explicitly establish the family-required range event sequence. Optional BOS and follow-through absences are not blocking under the contract.,"The range identity, excursion, and reentry sequence is supported, with clean mitigation and strong retest quality. Approve cautiously because off-hours context and modest alignment limit conviction.",,EURUSD|1788778800|1788811200|0|range_reentry|1.16268|range_reentry|0,1.1626,1.1626,1.162675,1.16275,,fx,prev_day_low,range_mid_opposite_side,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788855779_GBPUSD_16696,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is required, but the declared target model is next_liquidity_session_range while the liquidity target is blocked by an obstacle and unavailable; the supplied TP2",The execution target configuration is internally inconsistent: the selected target source/TP2 does not align with the declared target model and blocked liquidity candidate.,"Breaker formation and clean retest are supported, with virgin FVG, strong displacement, valid invalidation, and a feasible current target. Historical evidence is not asset-class applicable.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788856384_#Japan225_19294,#Japan225,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure,"The candidate identity encodes entry 66525.50, while the authoritative execution entry is 66509.5; 66525.5 is separately identified as the FVG midpoint. This creates an unresolved,",Blocked due to conflicting candidate identity and authoritative entry price.,"Breaker identity, formation, clean retest, bearish structure, and invalidation remain supported. Current feasible target is preferable; nearby opposing imbalance limits immediate follow-through.",,#Japan225|1788757200|1788778800|1788782400|breaker_retest|66525.50|breaker_retest|0,66509.5,66509.5,66525.5,66541.5,,other,newyork_session_low,next_liquidity_session_range,newyork_session_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788857593_GBPUSD_2669,GBPUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_target_arbitration_incoherent,"The execution identifies the target source as prev_day_low while the target model is next_liquidity_session_range; target arbitration is required, yet the liquidity target is also,",Target selection metadata is internally inconsistent and the stated liquidity target is blocked.,"Breaker formation and clean retest are supported in order. The mitigated FVG remains valid, costs are modest, and the feasible current target is preferable to blocked liquidity.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35411|breaker_retest|0,1.35406,1.35406,1.354115,1.35417,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788858803_#USNDAQ100_16418,#USNDAQ100,MICRO_OTE_REVERSAL,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is required, but the selected liquidity target is explicitly blocked by a crossed opposing imbalance only 0.0778 R away; the proposed TP1 is beyond that obstacle","The entry sequence and validation fields are present, but the selected target is obstructed and target arbitration remains unresolved.","Required OTE reversal sequence is present and ordered; FVG remains tradable, cost is negligible, and the current feasible target retains acceptable reward despite a nearby moderate obstacle.",,#USNDAQ100|1788832800|1788836400|1788840000|ote_inside_fvg|29546.20|ote_inside_fvg|0,29552.77625,29532.45,29546.2,29559.95,,fx,prev_week_high,liquidity_or_synthetic_rr,prev_week_high,True,True,True,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788859407_#USNDAQ100_25292,#USNDAQ100,MICRO_OTE_REVERSAL,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is required, yet the selected liquidity target is explicitly blocked by a crossed opposing imbalance while being treated as feasible without a resolved target-pr",The execution target decision contains an unresolved obstacle-versus-feasibility contradiction.,"OTE reversal has the declared context, strong displacement, valid retracement, intact FVG and structural invalidation. Keep the feasible current target; moderate obstacle and mixed analogues warrant reduced size.",,#USNDAQ100|1788832800|1788836400|1788840000|ote_inside_fvg|29546.20|ote_inside_fvg|0,29552.77625,29532.45,29546.2,29559.95,,fx,prev_week_high,liquidity_or_synthetic_rr,prev_week_high,True,True,True,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788861219_GBPUSD_27795,GBPUSD,MICRO_BREAKER_RETEST,ABSTAIN,,,"The supplied record identifies the required sequence and provides source timestamps and a retest score, but does not explicitly evidence breaker formation and clean retest events. These events must not be inferred.","Breaker identity, formation, and clean retest are supported. Virgin FVG and ordered displacement/BOS support the reversal thesis; keep_current is the only strong feasible target.",,GBPUSD|1788840000|1788843600|1788847200|breaker_retest|1.35423|breaker_retest|0,1.35417,1.35417,1.35423,1.35429,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788863033_GOLD_25582,GOLD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence,"The family contract requires declared source context, breaker formation, and clean retest, but the supplied evidence does not explicitly establish breaker formation or a clean ret偏",Required sequence evidence is incomplete; breaker formation and clean retest cannot be inferred solely from branch labels or scores.,"Required breaker sequence and bearish displacement are present. The virgin zone and feasible session-low target support a small, cautious approval despite nearby opposing HTF liquidity.",,GOLD|1788850800|1788854400|1788858000|breaker_retest|4432.91|breaker_retest|0,4431.65,4431.65,4432.915,4434.18,,metals,session_low,next_liquidity_session_range,session_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788863637_USDCHF_24069,USDCHF,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence,"The required sequence includes declared source context, breaker formation, and clean retest, but the supplied evidence does not explicitly establish breaker formation or a clean, M",Required family sequence evidence is incomplete; score fields and entry-branch labels do not explicitly establish the mandatory breaker formation and clean retest events.,"Approve cautiously: breaker-retest taxonomy, displacement, virgin structure, feasible current target, and supportive same-branch analogues align; retest quality and clearance remain risks.",,USDCHF|1788843600|1788858000|0|breaker_retest|0.80870|breaker_retest|0,0.80886,0.80853,0.808695,0.80886,,fx,prev_day_high,next_liquidity_session_range,prev_day_high,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788864846_GOLD_23491,GOLD,MICRO_FVG_MID_REVERSAL,BLOCK,ai_veto_data_integrity_failure,"The instrument asset_class evidence is empty, while the candidate is treated as a metals/GOLD setup with historical evidence marked AVAILABLE; asset-class applicability is not audつ",Block due to unresolved asset-class data integrity inconsistency.,"Complete micro FVG midpoint sequence is observed, with virgin valid FVG, strong displacement, structural stop, and feasible current target. Nearby HTF opposition and mixed history warrant reduced size.",,GOLD|1788850800|1788854400|1788858000|fvg_mid|4432.91|fvg_mid|0,4432.915,4431.65,4432.915,4434.18,,metals,session_low,liquidity_or_synthetic_rr,session_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788867867_GOLD_6308,GOLD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure,"The candidate identity encodes entry 4414.52, while the authoritative executable entry is 4411.64 and the FVG lower boundary is also 4411.64. The identity price and execution price",Candidate identity and authoritative execution entry are inconsistent.,"Approve cautiously: breaker-retest evidence and historical analogues support the thesis, with valid structure and a feasible current target. Use reduced size because retest quality and net RR are modest.",,GOLD|1788850800|1788854400|1788858000|breaker_retest|4414.52|breaker_retest|0,4411.64,4411.64,4414.52,4417.4,,metals,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788868471_GOLD_6577,GOLD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure,"Candidate identity encodes entry 4414.52, while the authoritative entry is 4411.64; this also conflicts with the FVG midpoint/lower-bound fields and makes the execution identity un",The candidate has a material entry-identity mismatch between its candidate ID and authoritative execution fields.,"Approve cautiously: breaker/retest sequence, displacement, structure, and FVG validity are supported; historical analogues are favorable, but weak retest quality and modest current RR require reduced exposure.",,GOLD|1788850800|1788854400|1788858000|breaker_retest|4414.52|breaker_retest|0,4411.64,4411.64,4414.52,4417.4,,metals,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788870287_EURUSD_9540,EURUSD,MICRO_OTE_REVERSAL,BLOCK,ai_veto_missing_mandatory_evidence,"The family contract requires an OTE retracement, but the supplied evidence marks the FVG as untouched and the setup as PO3_ENTRY_WAITING; therefore the required retracement event/e",The required OTE retracement is not evidenced; the candidate remains entry-waiting with an untouched FVG.,"The OTE reversal sequence and virgin FVG are valid and ordered. Retest quality is weak, but current feasible target preserves acceptable net RR; approve only with conservative sizing.",,EURUSD|1788843600|1788858000|1788861600|ote_inside_fvg|1.16273|ote_inside_fvg|0,1.1627284,1.16258,1.162725,1.16287,,fx,prev_day_low,liquidity_or_synthetic_rr,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788872706_EURUSD_16880,EURUSD,MICRO_OTE_REVERSAL,BLOCK,ai_veto_missing_mandatory_evidence,"The family contract requires an OTE retracement, but the supplied evidence only establishes sweep, displacement, and BOS timestamps; the FVG is untouched and the state remains PO3入",Mandatory OTE retracement evidence is not explicitly supplied; the candidate remains entry-waiting with an untouched FVG.,"Bearish OTE reversal is supported by ordered sweep, displacement, BOS, and a fresh untouched FVG. Current feasible target is usable, while historical analogues are mixed and retest quality is weak.",,EURUSD|1788843600|1788858000|1788861600|ote_inside_fvg|1.16273|ote_inside_fvg|0,1.1627284,1.16258,1.162725,1.16287,,fx,prev_day_low,liquidity_or_synthetic_rr,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788873917_EURUSD_14162,EURUSD,MICRO_BREAKER_RETEST,ABSTAIN,,,"Core sequence and target evidence are present, but asset-class identity and historical applicability are unresolved.","The breaker-retest thesis is supported by the declared breaker branch, clean virgin state, strong displacement, valid structure, supportive same-taxonomy analogues, and feasible current target.",,EURUSD|1788843600|1788858000|1788861600|breaker_retest|1.16273|breaker_retest|0,1.16258,1.16258,1.162725,1.16287,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788875127_EURUSD_20111,EURUSD,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence,"The required sequence includes breaker formation and clean retest, but the supplied evidence does not explicitly establish either event; it provides sweep, displacement, BOS, and a",Required family-sequence evidence is not explicitly supplied.,"Approve cautiously: breaker identity, virgin state, displacement, and clean sequence support the retest thesis; use the deterministic current target because alternatives are infeasible.",,EURUSD|1788843600|1788858000|1788861600|breaker_retest|1.16273|breaker_retest|0,1.16258,1.16258,1.162725,1.16287,,fx,prev_day_low,next_liquidity_session_range,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788876336_#USNDAQ100_29828,#USNDAQ100,MICRO_BREAKER_RETEST,BLOCK,ai_veto_missing_mandatory_evidence,"The family contract requires declared source context, breaker formation, and clean retest, but the supplied evidence does not explicitly identify breaker formation or a clean retけt",Required sequence evidence is not explicitly supplied; the entry branch and retest score do not establish all contractually required events.,"Valid breaker-retest sequence with clean displacement, intact touched FVG, structural invalidation, and feasible current target. Near obstacle and mixed analogue outcomes warrant reduced exposure.",,#USNDAQ100|1788850800|1788854400|1788858000|breaker_retest|29643.25|breaker_retest|0,29642.3,29627.8,29643.25,29658.7,,fx,asia_session_low,next_liquidity_session_range,asia_session_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788876336_EURUSD_16990,EURUSD,MICRO_OTE_REVERSAL,BLOCK,ai_veto_missing_mandatory_evidence|ai_veto_data_integrity_failure|ai_veto_target_arbitration_incoherent,"The family contract requires an OTE retracement, but the supplied evidence shows the FVG was not touched and the setup remains PO3_ENTRY_WAITING; no evidence establishes that the O || The instrument asset class is empty while historical evidence is marked AVAILABLE despite the bucket prior being unavailable for the candidate asset class, leaving applicability of || Target arbitration is explicitly required, while the liquidity target is blocked by an opposing obstacle; the evidence does not establish a resolved executable target policy.","Mandatory OTE retracement and target arbitration are not adequately resolved, and asset-class applicability is inconsistent.","Valid OTE reversal sequence with virgin, uninvalidated FVG and feasible current target. Nearby opposing imbalance and mixed analogue outcomes warrant constrained risk.",,EURUSD|1788843600|1788858000|1788861600|ote_inside_fvg|1.16273|ote_inside_fvg|0,1.1627284,1.16258,1.162725,1.16287,,fx,prev_day_low,liquidity_or_synthetic_rr,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788878149_EURUSD_18077,EURUSD,MICRO_OTE_REVERSAL,BLOCK,ai_veto_target_arbitration_incoherent,"Target arbitration is explicitly required, while the liquidity target is blocked by an obstacle and the recorded target model/source and authoritative TP2 do not provide a clearlyמ",Target selection is not coherently resolved for execution.,"Micro OTE reversal has the required context, displacement, and retracement sequence. The virgin FVG and structural stop are valid; current feasible target is preferable despite moderate alignment and obstruction.",,EURUSD|1788843600|1788858000|1788861600|ote_inside_fvg|1.16273|ote_inside_fvg|0,1.1627284,1.16258,1.162725,1.16287,,fx,prev_day_low,liquidity_or_synthetic_rr,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788879961_EURUSD_23059,EURUSD,MICRO_FVG_MID_REVERSAL,BLOCK,ai_veto_data_integrity_failure,"The candidate has an empty asset_class while its bucket prior identifies FX and explicitly marks the asset-class match false; the associated liquidity target is structurally valid,",BLOCK: supplied evidence contains a material asset-class and target-validity integrity conflict.,"Approve cautiously: virgin midpoint FVG, strong displacement, valid bearish sequence, and feasible 2.337 net-R target support the reversal thesis; size should remain reduced for the nearby obstacle.",,EURUSD|1788843600|1788858000|1788861600|fvg_mid|1.16273|fvg_mid|0,1.162725,1.16258,1.162725,1.16287,,fx,prev_day_low,liquidity_or_synthetic_rr,prev_day_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788879961_GOLD_13695,GOLD,MICRO_OTE_REVERSAL,BLOCK,ai_veto_missing_mandatory_evidence,"The required OTE retracement event is not evidenced: the FVG is explicitly untouched and the state remains PO3_ENTRY_WAITING, so the required sequence is incomplete for execution.",Block because the required OTE retracement has not occurred; the setup remains entry-waiting.,"Approve cautiously: the OTE reversal sequence and virgin FVG are coherent, with a feasible current target, but a major opposing HTF imbalance and mixed history warrant reduced size.",,GOLD|1788850800|1788854400|1788858000|ote_inside_fvg|4432.91|ote_inside_fvg|0,4432.6202,4431.65,4432.915,4434.18,,metals,asia_session_low,liquidity_or_synthetic_rr,asia_session_low,True,True,False,keep_current,UPHOLD_BLOCK
591813800_1788837043_120154281_1788881169_#USNDAQ100_28281,#USNDAQ100,MICRO_BREAKER_RETEST,BLOCK,ai_veto_data_integrity_failure|ai_veto_target_arbitration_incoherent,"Candidate identity/entry values conflict: the candidate ID encodes 29643.25, while the authoritative entry is 29642.3. || The declared target model is the next liquidity range, but that target is blocked/unavailable; the authoritative TP2 instead corresponds to the available session-low target.",Blocked due to an entry identity mismatch and unresolved target arbitration.,"Breaker formation and clean retest sequence are present, with valid untouched structure and feasible current target. Weak retest quality and the nearby obstacle justify reduced risk.",,#USNDAQ100|1788850800|1788854400|1788858000|breaker_retest|29643.25|breaker_retest|0,29642.3,29627.8,29643.25,29658.7,,fx,asia_session_low,next_liquidity_session_range,asia_session_low,True,True,False,keep_current,UPHOLD_BLOCK
