role,output_field,n_samples,visible_tokens_avg,visible_tokens_p50,visible_tokens_p95,consumer_category,examples
adjudicator,request_identity_hash,7,23.495,24.13,24.765,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""6febe1fdb5c9c630f8a3210d92e9b9c58fbb315d65b8b165d777410b293daf64\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""a01770cec30bed99a2614aed0d57594bc014381a6fbdd4f745ce4aef93a60322\""""}]"
critic,candidate_id,36,21.08,21.565,23.897,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""GOLD|1785517200|1785528000|1785718800|ote_inside_fvg|4034.56|ote_inside_fvg|0\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""BITCOIN|1785657600|1785668400|1785672000|breaker_retest|63440.50|breaker_retest|0\""""}]"
critic,request_identity_hash,36,21.841,21.565,24.625,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""6febe1fdb5c9c630f8a3210d92e9b9c58fbb315d65b8b165d777410b293daf64\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""a01770cec30bed99a2614aed0d57594bc014381a6fbdd4f745ce4aef93a60322\""""}]"
analyst,candidate_id,36,20.251,20.717,22.957,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""GOLD|1785517200|1785528000|1785718800|ote_inside_fvg|4034.56|ote_inside_fvg|0\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""BITCOIN|1785657600|1785668400|1785672000|breaker_retest|63440.50|breaker_retest|0\""""}]"
analyst,request_identity_hash,36,20.982,20.717,23.657,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""6febe1fdb5c9c630f8a3210d92e9b9c58fbb315d65b8b165d777410b293daf64\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""a01770cec30bed99a2614aed0d57594bc014381a6fbdd4f745ce4aef93a60322\""""}]"
analyst,invalidation_risks,36,19.598,19.038,27.017,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[\""Virgin FVG entry fails on retest without confirmation\"",\""Structural sweep stop breaks under expansion\""]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""Fresh virgin opposing imbalance 0.16R ahead\"",\""TP1 requires crossing obstacle\""]""}]"
analyst,bucket_prior_override_justification,36,16.689,17.918,25.897,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""No override; ABSTAIN respects negative metals prior and weak origin context.\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""\""""}]"
analyst,veto,36,35.556,16.798,113.246,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""{\""code\"":\""\"",\""enabled\"":false,\""evidence_fields\"":[],\""reason\"":\""\""}""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""{\""code\"":\""\"",\""enabled\"":false,\""evidence_fields\"":[],\""reason\"":\""\""}""}]"
adjudicator,request_id,7,15.875,15.875,16.764,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""591813800_1785715200_305658125_1785725109_GOLD_25455\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""591813800_1785715200_305658125_1785740134_BITCOIN_1317\""""}]"
critic,request_id,36,14.134,13.988,14.571,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""591813800_1785715200_305658125_1785725109_GOLD_25455\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""591813800_1785715200_305658125_1785740134_BITCOIN_1317\""""}]"
analyst,request_id,36,13.578,13.438,13.998,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""591813800_1785715200_305658125_1785725109_GOLD_25455\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""591813800_1785715200_305658125_1785740134_BITCOIN_1317\""""}]"
analyst,missing_confirmations,36,11.059,12.878,24.917,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[\""Clean retest still pending MQL trigger\"",\""No follow-through yet\""]""}]"
adjudicator,role_contract_version,7,10.795,10.795,10.795,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
adjudicator,role_schema_version,7,10.795,10.795,10.795,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
critic,role_contract_version,36,9.908,9.908,9.908,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
critic,role_schema_version,36,9.908,9.908,9.908,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
analyst,role_contract_version,36,9.519,9.519,9.519,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
analyst,role_schema_version,36,9.519,9.519,9.519,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260724_python_bound_roles_v3\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260724_python_bound_roles_v3\""""}]"
adjudicator,model_id,7,8.89,8.89,8.89,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""muse-spark-1.3-contributor\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""muse-spark-1.3-contributor\""""}]"
critic,model_id,36,8.095,8.16,8.16,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""muse-spark-1.3-contributor\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""muse-spark-1.3-contributor\""""}]"
analyst,model_id,36,7.777,7.839,7.839,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""muse-spark-1.3-contributor\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""muse-spark-1.3-contributor\""""}]"
analyst,model_version,36,7.777,7.839,7.839,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""muse-spark-1.3-contributor\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""muse-spark-1.3-contributor\""""}]"
analyst,setup_taxonomy_version,36,7.839,7.839,7.839,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""20260716_setup_taxonomy_v1\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""20260716_setup_taxonomy_v1\""""}]"
analyst,taxonomy_mapping_source,36,7.839,7.839,7.839,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""exact_branch_structure_scope\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""exact_branch_structure_scope\""""}]"
analyst,narrative_state,36,7.17,7.279,9.519,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""PENDING_OTE_OBSTRUCTED_WAIT\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""WAITING_BREAKER_RETEST_TRIGGER\""""}]"
adjudicator,candidate_hash,7,7.166,6.985,8.255,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""036327D6E11C597A\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""96933C7A97FF96A6\""""}]"
analyst,request_execution_fingerprint,36,6.377,6.439,7.839,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""E0A8DD292D9E05E5\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""EEBF7747BDAE9C73\""""}]"
critic,candidate_hash,36,6.492,6.411,7.723,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""036327D6E11C597A\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""96933C7A97FF96A6\""""}]"
adjudicator,provider_id,7,6.35,6.35,6.35,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""opencode_go_responses\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""opencode_go_responses\""""}]"
analyst,assessed_execution_fingerprint,36,6.299,6.159,7.419,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""5298376081D98D14\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""B4B84BF5A20CA859\""""}]"
analyst,candidate_hash,36,6.237,6.159,7.419,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""036327D6E11C597A\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""96933C7A97FF96A6\""""}]"
critic,provider_id,36,5.731,5.828,5.828,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""opencode_go_responses\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""opencode_go_responses\""""}]"
analyst,provider_id,36,5.506,5.599,5.599,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""opencode_go_responses\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""opencode_go_responses\""""}]"
analyst,setup_taxonomy_enum,36,5.646,5.599,6.159,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""MICRO_OTE_REVERSAL\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""MICRO_BREAKER_RETEST\""""}]"
analyst,historical_evidence_state,36,4.168,4.479,4.479,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""MIXED\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""INSUFFICIENT_SAMPLE\""""}]"
analyst,selected_target_identity,36,3.36,3.36,3.36,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""keep_current\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""keep_current\""""}]"
adjudicator,role,7,3.175,3.175,3.175,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""adjudicator\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""adjudicator\""""}]"
adjudicator,verdict,7,2.54,2.54,2.54,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""ABSTAIN\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""ABSTAIN\""""}]"
critic,role,36,2.331,2.331,2.331,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""critic\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""critic\""""}]"
analyst,blended_legacy_score,36,2.038,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""8.712""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""8.6109""}]"
analyst,decision_state,36,2.24,2.24,2.24,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""ABSTAIN\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""ABSTAIN\""""}]"
analyst,entry,36,2.162,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4034.94455""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""63424.99""}]"
analyst,legacy_agreement_confidence,36,2.131,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.2987""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.5042""}]"
analyst,role,36,2.24,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""analyst\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""analyst\""""}]"
analyst,rule_score,36,2.038,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""10.0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""9.5485""}]"
analyst,selected_target_price,36,2.162,2.24,2.38,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4087.49""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""62631.03""}]"
analyst,sl,36,2.1,2.24,2.24,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4019.52""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""63626.04""}]"
analyst,tp1,36,2.317,2.24,2.8,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4050.3691""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""63244.045""}]"
analyst,tp2,36,2.162,2.24,2.38,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4087.49""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""62631.03""}]"
analyst,verdict,36,2.24,2.24,2.24,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""ABSTAIN\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""ABSTAIN\""""}]"
critic,confidence_band,36,1.991,1.749,2.331,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""HIGH\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""HIGH\""""}]"
critic,verdict,36,1.781,1.749,1.894,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""PASS\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""PASS\""""}]"
analyst,chop_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.42""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.45""}]"
analyst,confidence_band,36,1.773,1.68,2.24,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""LOW\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""LOW\""""}]"
analyst,cost_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.18""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.15""}]"
analyst,entry_timing_score,36,1.68,1.68,1.68,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4.2""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""4.3""}]"
analyst,final_trade_expectancy_score,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""4.1""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""4.2""}]"
analyst,follow_through_probability,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.38""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.35""}]"
analyst,invalidation_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.55""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.55""}]"
analyst,llm_quality_score,36,1.68,1.68,1.68,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""5.4""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""6.2""}]"
analyst,llm_self_reported_confidence,36,1.68,1.68,1.68,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.42""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.62""}]"
analyst,post_entry_failure_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.56""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.6""}]"
analyst,session_bucket_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.48""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.45""}]"
analyst,structure_quality_score,36,1.68,1.68,1.68,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""5.3""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""6.1""}]"
analyst,suggested_risk_multiplier,36,1.68,1.68,1.68,decision_value,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.0""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.0""}]"
analyst,symbol_bucket_risk,36,1.68,1.68,1.68,diagnostic_logged_only,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""0.52""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""0.5""}]"
adjudicator,resolved_objection_codes,7,1.27,1.27,1.27,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
adjudicator,unresolved_objection_codes,7,1.27,1.27,1.27,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
critic,blocking_objections,36,1.166,1.166,1.166,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
critic,missing_required_evidence,36,1.409,1.166,1.166,persisted,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
critic,non_blocking_objections,36,20.076,1.166,167.278,validated_or_bound,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""[]""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""[]""}]"
analyst,calibration_available,36,1.12,1.12,1.12,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""false""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""false""}]"
analyst,calibration_bucket,36,1.12,1.12,1.12,not_in_output_schema,"[{""request_id"":""591813800_1785715200_305658125_1785725109_GOLD_25455"",""value"":""\""\""""},{""request_id"":""591813800_1785715200_305658125_1785740134_BITCOIN_1317"",""value"":""\""\""""}]"
