[run] mode=live requests=60 arms=6 pairs_todo=360 pairs_skipped_ok=0
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 luna_low_flex status=ok state=ABSTAIN elapsed=96.498s attempts=3
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 muse_minimal status=ok state=ABSTAIN elapsed=190.374s attempts=3
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 muse_high_b status=ok state=ABSTAIN elapsed=322.243s attempts=2
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 muse_minimal status=ok state=ABSTAIN elapsed=82.803s attempts=2
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 luna_low_flex status=ok state=ABSTAIN elapsed=46.317s attempts=2
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 muse_low status=ok state=ABSTAIN elapsed=242.065s attempts=3
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 muse_high_b status=ok state=ABSTAIN elapsed=381.824s attempts=2
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 muse_low status=ok state=ABSTAIN elapsed=89.223s attempts=2
[bench] 591813800_1788925102_208218984_1788951325_USDCHF_19925 muse_high_a status=ok state=ABSTAIN elapsed=409.302s attempts=2
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 muse_high_b status=ok state=ABSTAIN elapsed=410.47s attempts=2
[bench] 591813800_1788925102_208218984_1788951947_AUDJPY_32618 muse_high_a status=ok state=ABSTAIN elapsed=431.511s attempts=2
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 muse_low status=ok state=ABSTAIN elapsed=234.466s attempts=3
[bench] 903871_1789148402_173202328_1789151032_EURAUD_5869 muse_high_a status=ok state=ABSTAIN elapsed=444.595s attempts=2
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 muse_high_a status=ok state=ABSTAIN elapsed=457.971s attempts=2
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 luna_low_flex status=ok state=APPROVE elapsed=125.21s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 luna_low_flex status=ok state=ABSTAIN elapsed=82.0s attempts=3
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 muse_medium status=ok state=ABSTAIN elapsed=256.672s attempts=2
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 muse_minimal status=ok state=REJECT elapsed=291.101s attempts=3
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 muse_high_a status=ok state=REJECT elapsed=30.422s attempts=1
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 luna_low_flex status=ok state=REJECT elapsed=68.069s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 muse_minimal status=ok state=ABSTAIN elapsed=98.828s attempts=2
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 muse_high_a status=ok state=ABSTAIN elapsed=235.843s attempts=2
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 muse_minimal status=ok state=REJECT elapsed=211.88s attempts=3
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 muse_medium status=ok state=ABSTAIN elapsed=407.024s attempts=3
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 muse_minimal status=ok state=REJECT elapsed=85.842s attempts=2
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 muse_medium status=ok state=ABSTAIN elapsed=373.35s attempts=3
[bench] 903871_1788999394_24185000_1789004983_NAS100_9597 muse_high_b status=ok state=ABSTAIN elapsed=579.416s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 muse_low status=ok state=ABSTAIN elapsed=154.876s attempts=2
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 muse_low status=ok state=ABSTAIN elapsed=223.79s attempts=3
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 muse_high_b status=ok state=ABSTAIN elapsed=444.286s attempts=3
[bench] 903871_1788983285_8075437_1788995216_GBPCAD_29371 muse_high_b status=ok state=ABSTAIN elapsed=329.455s attempts=2
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 luna_low_flex status=ok state=ABSTAIN elapsed=88.827s attempts=3
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 muse_low status=ok state=REJECT elapsed=152.279s attempts=2
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 muse_minimal status=ok state=REJECT elapsed=114.528s attempts=2
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 muse_low status=ok state=ABSTAIN elapsed=136.373s attempts=3
[bench] 591813800_1785715200_305658125_1785762972_AUDUSD_11360 muse_high_a status=ok state=ABSTAIN elapsed=479.484s attempts=3
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 muse_high_a status=ok state=ABSTAIN elapsed=558.882s attempts=3
[bench] 903871_1789062748_87542921_1789068109_US30_16044 luna_low_flex status=ok state=APPROVE elapsed=71.399s attempts=2
[bench] 591813800_1785715200_305658125_1785759967_BITCOIN_9173 muse_high_b status=ok state=ABSTAIN elapsed=580.116s attempts=3
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 luna_low_flex status=ok state=APPROVE elapsed=145.573s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 muse_high_b status=ok state=ABSTAIN elapsed=352.121s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 muse_medium status=ok state=ABSTAIN elapsed=374.509s attempts=2
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 muse_high_b status=ok state=ABSTAIN elapsed=235.894s attempts=2
[bench] 903871_1789062748_87542921_1789068109_US30_16044 muse_minimal status=ok state=ABSTAIN elapsed=99.57s attempts=3
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 muse_medium status=ok state=ABSTAIN elapsed=477.204s attempts=3
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 muse_minimal status=ok state=ABSTAIN elapsed=222.302s attempts=3
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 muse_medium status=ok state=REJECT elapsed=331.616s attempts=2
[bench] 903871_1789062748_87542921_1789068109_US30_16044 muse_low status=ok state=ABSTAIN elapsed=140.808s attempts=2
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 muse_high_a status=ok state=ABSTAIN elapsed=505.184s attempts=3
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 muse_medium status=ok state=ABSTAIN elapsed=291.551s attempts=2
[bench] 903871_1789093630_118426656_1789096071_XAUUSD_13096 muse_high_a status=ok state=ABSTAIN elapsed=422.552s attempts=2
[bench] 903871_1789148402_173202328_1789155320_UK100_2328 muse_high_a status=ok state=ABSTAIN elapsed=275.027s attempts=2
[bench] 903871_1789062748_87542921_1789068109_US30_16044 muse_medium status=ok state=REJECT elapsed=174.711s attempts=1
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 luna_low_flex status=ok state=APPROVE elapsed=141.168s attempts=2
[bench] 903871_1788983285_8075437_1788988231_NZDJPY_13045 muse_high_b status=ok state=REJECT elapsed=367.28s attempts=2
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 luna_low_flex status=ok state=ABSTAIN elapsed=77.974s attempts=2
[bench] 903871_1789062748_87542921_1789068109_US30_16044 muse_high_b status=ok state=ABSTAIN elapsed=272.723s attempts=2
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 muse_minimal status=ok state=ABSTAIN elapsed=140.587s attempts=3
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 muse_low status=ok state=ABSTAIN elapsed=310.893s attempts=3
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 muse_minimal status=ok state=ABSTAIN elapsed=134.968s attempts=2
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 muse_low status=ok state=ABSTAIN elapsed=154.981s attempts=3
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 muse_medium status=ok state=ABSTAIN elapsed=357.666s attempts=3
[bench] 591813800_1785715200_305658125_1785725109_GOLD_25455 muse_high_b status=ok state=ABSTAIN elapsed=592.165s attempts=3
[bench] 903871_1789062748_87542921_1789068109_US30_16044 muse_high_a status=ok state=ABSTAIN elapsed=347.602s attempts=2
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 luna_low_flex status=ok state=ABSTAIN elapsed=48.19s attempts=3
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 luna_low_flex status=ok state=ABSTAIN elapsed=139.218s attempts=7
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 muse_low status=ok state=ABSTAIN elapsed=301.984s attempts=3
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 luna_low_flex status=ok state=REJECT elapsed=43.529s attempts=2
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 muse_medium status=ok state=ABSTAIN elapsed=259.085s attempts=2
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 muse_high_b status=ok state=ABSTAIN elapsed=449.774s attempts=3
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 muse_medium status=ok state=REJECT elapsed=231.935s attempts=1
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 muse_minimal status=ok state=REJECT elapsed=105.945s attempts=2
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 luna_low_flex status=ok state=APPROVE elapsed=48.627s attempts=2
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 muse_minimal status=ok state=ABSTAIN elapsed=245.415s attempts=6
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 muse_minimal status=ok state=ABSTAIN elapsed=182.977s attempts=3
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 muse_low status=ok state=ABSTAIN elapsed=162.347s attempts=3
[bench] 591813800_1785715200_305658125_1785768982_USDCHF_2988 muse_high_a status=ok state=ABSTAIN elapsed=516.088s attempts=3
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 muse_high_b status=ok state=ABSTAIN elapsed=427.206s attempts=3
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 muse_low status=ok state=ABSTAIN elapsed=149.866s attempts=2
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 muse_medium status=ok state=ABSTAIN elapsed=250.818s attempts=3
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 muse_minimal status=ok state=ABSTAIN elapsed=103.948s attempts=2
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 muse_high_a status=ok state=ABSTAIN elapsed=352.273s attempts=2
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 luna_low_flex status=ok state=REJECT elapsed=41.263s attempts=2
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 muse_medium status=ok state=ABSTAIN elapsed=395.232s attempts=3
[bench] 903871_1789093630_118426656_1789094249_US30_14363 luna_low_flex status=ok state=APPROVE elapsed=41.983s attempts=2
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 muse_minimal status=ok state=REJECT elapsed=96.603s attempts=3
[bench] 591813800_1785715200_305658125_1785740735_BITCOIN_469 muse_high_a status=ok state=ABSTAIN elapsed=439.965s attempts=3
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 muse_low status=ok state=ABSTAIN elapsed=381.727s attempts=6
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 muse_medium status=ok state=REJECT elapsed=278.322s attempts=2
[bench] 903871_1789093630_118426656_1789094249_US30_14363 muse_minimal status=ok state=REJECT elapsed=71.972s attempts=2
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 muse_minimal status=ok state=REJECT elapsed=23.542s attempts=1
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 muse_low status=ok state=REJECT elapsed=157.209s attempts=2
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 muse_high_a status=ok state=REJECT elapsed=120.182s attempts=2
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 muse_high_a status=ok state=REJECT elapsed=350.622s attempts=3
[bench] 903871_1789062748_87542921_1789071381_USDCHF_5236 muse_high_b status=ok state=ABSTAIN elapsed=459.884s attempts=2
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 muse_high_b status=ok state=REJECT elapsed=13.177s attempts=1
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 luna_low_flex status=ok state=REJECT elapsed=43.784s attempts=2
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 muse_medium status=ok state=REJECT elapsed=32.333s attempts=1
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 muse_high_a status=ok state=REJECT elapsed=13.928s attempts=1
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 muse_high_b status=ok state=REJECT elapsed=14.026s attempts=1
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 muse_low status=ok state=REJECT elapsed=33.903s attempts=1
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 muse_medium status=ok state=REJECT elapsed=174.895s attempts=2
[bench] 591813800_1785715200_305658125_1785744942_#Germany40_32424 muse_high_b status=ok state=REJECT elapsed=345.184s attempts=2
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 muse_medium status=ok state=REJECT elapsed=233.792s attempts=2
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 muse_high_b status=ok state=REJECT elapsed=18.444s attempts=1
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 muse_high_a status=ok state=REJECT elapsed=20.303s attempts=1
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 muse_low status=ok state=REJECT elapsed=42.766s attempts=1
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 muse_minimal status=ok state=REJECT elapsed=42.891s attempts=1
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 muse_medium status=ok state=REJECT elapsed=41.787s attempts=1
[bench] 903871_1789093630_118426656_1789094249_US30_14363 muse_low status=ok state=REJECT elapsed=174.434s attempts=2
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 muse_minimal status=ok state=REJECT elapsed=42.901s attempts=1
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 muse_high_b status=ok state=REJECT elapsed=369.755s attempts=2
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 muse_low status=ok state=REJECT elapsed=210.207s attempts=3
[bench] 903871_1789148402_173202328_1789154707_GBPUSD_19340 luna_low_flex status=ok state=REJECT elapsed=69.951s attempts=2
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 muse_low status=ok state=REJECT elapsed=47.154s attempts=1
[bench] 903871_1789062748_87542921_1789066099_US30_18866 muse_high_b status=ok state=REJECT elapsed=27.021s attempts=1
[bench] 903871_1789062748_87542921_1789066099_US30_18866 muse_high_a status=ok state=REJECT elapsed=27.653s attempts=1
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 muse_high_b status=ok state=REJECT elapsed=312.51s attempts=2
[bench] 903871_1789093630_118426656_1789094249_US30_14363 muse_high_b status=ok state=REJECT elapsed=175.291s attempts=2
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 muse_medium status=ok state=REJECT elapsed=55.374s attempts=1
[bench] 903871_1789062748_87542921_1789066099_US30_18866 muse_low status=ok state=REJECT elapsed=55.588s attempts=1
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 muse_high_a status=ok state=REJECT elapsed=30.578s attempts=1
[bench] 903871_1789062748_87542921_1789066099_US30_18866 muse_minimal status=ok state=REJECT elapsed=51.98s attempts=1
[bench] 903871_1789148402_173202328_1789149197_WTI_22682 luna_low_flex status=ok state=ABSTAIN elapsed=71.262s attempts=2
[bench] 591813800_1785715200_305658125_1785753356_GBPUSD_22093 muse_high_b status=ok state=REJECT elapsed=224.9s attempts=2
[bench] 903871_1789062748_87542921_1789066099_US30_18866 muse_medium status=ok state=REJECT elapsed=51.959s attempts=1
[bench] 903871_1789093630_118426656_1789094249_US30_14363 muse_medium status=ok state=REJECT elapsed=166.76s attempts=2
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 muse_high_b status=ok state=REJECT elapsed=30.597s attempts=1
[bench] 903871_1789093630_118426656_1789094249_US30_14363 muse_high_a status=ok state=REJECT elapsed=219.365s attempts=2
[bench] 903871_1788999394_24185000_1789002917_NAS100_10901 muse_high_a status=ok state=REJECT elapsed=353.599s attempts=2
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 muse_low status=ok state=REJECT elapsed=56.931s attempts=1
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 muse_minimal status=ok state=REJECT elapsed=62.427s attempts=1
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 muse_high_a status=ok state=REJECT elapsed=38.343s attempts=1
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 muse_medium status=ok state=REJECT elapsed=62.607s attempts=1
[bench] 903871_1789062748_87542921_1789066099_US30_18866 luna_low_flex status=ok state=APPROVE elapsed=83.8s attempts=2
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 muse_high_b status=ok state=REJECT elapsed=41.253s attempts=1
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 muse_high_b status=ok state=REJECT elapsed=40.339s attempts=1
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 muse_medium status=ok state=REJECT elapsed=62.438s attempts=1
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 muse_low status=ok state=REJECT elapsed=66.139s attempts=1
[bench] 903871_1788999394_24185000_1789033279_NZDJPY_20411 muse_high_a status=ok state=REJECT elapsed=310.407s attempts=2
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 muse_high_a status=ok state=REJECT elapsed=55.211s attempts=1
[bench] 903871_1789093630_118426656_1789102197_XAUUSD_1646 luna_low_flex status=ok state=REJECT elapsed=88.523s attempts=2
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 muse_minimal status=ok state=REJECT elapsed=74.584s attempts=1
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 muse_low status=ok state=REJECT elapsed=71.675s attempts=1
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 muse_medium status=ok state=REJECT elapsed=67.401s attempts=1
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 muse_high_a status=ok state=REJECT elapsed=37.718s attempts=1
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 muse_high_b status=ok state=REJECT elapsed=37.733s attempts=1
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 muse_minimal status=ok state=REJECT elapsed=69.696s attempts=1
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 muse_minimal status=ok state=REJECT elapsed=66.044s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 muse_high_b status=ok state=REJECT elapsed=41.074s attempts=1
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 muse_medium status=ok state=REJECT elapsed=60.572s attempts=1
[bench] 903871_1789093630_118426656_1789102811_CHFJPY_32047 luna_low_flex status=ok state=ABSTAIN elapsed=101.512s attempts=3
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 muse_low status=ok state=REJECT elapsed=63.172s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 muse_high_a status=ok state=REJECT elapsed=42.87s attempts=1
[bench] 903871_1789093630_118426656_1789097294_USDJPY_5699 luna_low_flex status=ok state=ABSTAIN elapsed=102.778s attempts=3
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 muse_high_a status=ok state=REJECT elapsed=50.969s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 muse_minimal status=ok state=REJECT elapsed=72.369s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 muse_low status=ok state=REJECT elapsed=76.456s attempts=1
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 muse_high_b status=ok state=REJECT elapsed=52.466s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 muse_medium status=ok state=REJECT elapsed=79.375s attempts=1
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 muse_minimal status=ok state=REJECT elapsed=70.887s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 muse_high_a status=ok state=REJECT elapsed=48.012s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 muse_high_b status=ok state=REJECT elapsed=46.397s attempts=1
[bench] 903871_1789093630_118426656_1789098513_AUDJPY_32323 muse_high_a status=ok state=REJECT elapsed=293.228s attempts=2
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 muse_low status=ok state=REJECT elapsed=71.796s attempts=1
[bench] 903871_1789093630_118426656_1789094249_WTI_24227 luna_low_flex status=ok state=ABSTAIN elapsed=107.728s attempts=2
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 muse_high_a status=ok state=REJECT elapsed=44.14s attempts=1
[bench] 591813800_1785715200_305658125_1785740134_BITCOIN_1317 luna_low_flex status=ok state=APPROVE elapsed=133.453s attempts=2
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 muse_medium status=ok state=REJECT elapsed=79.832s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 muse_low status=ok state=REJECT elapsed=77.392s attempts=1
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 muse_high_b status=ok state=REJECT elapsed=42.307s attempts=1
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 muse_minimal status=ok state=REJECT elapsed=76.998s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 muse_medium status=ok state=REJECT elapsed=76.561s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 muse_minimal status=ok state=REJECT elapsed=81.086s attempts=1
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 muse_high_a status=ok state=ABSTAIN elapsed=657.503s attempts=5
[bench] 903871_1789062748_87542921_1789067423_US30_19703 muse_high_a status=ok state=REJECT elapsed=50.938s attempts=1
[bench] 903871_1788999394_24185000_1789028921_JPN225_10535 luna_low_flex status=ok state=APPROVE elapsed=102.919s attempts=2
[bench] 903871_1789062748_87542921_1789067423_US30_19703 muse_high_b status=ok state=REJECT elapsed=50.766s attempts=1
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 muse_low status=ok state=REJECT elapsed=64.964s attempts=1
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 muse_medium status=ok state=REJECT elapsed=66.935s attempts=1
[bench] 903871_1789062748_87542921_1789067423_US30_19703 muse_minimal status=ok state=REJECT elapsed=64.922s attempts=1
[bench] 903871_1789062748_87542921_1789067423_US30_19703 muse_medium status=ok state=REJECT elapsed=67.277s attempts=1
[bench] 591813800_1785715200_305658125_1785749750_AUDUSD_9445 luna_low_flex status=ok state=REJECT elapsed=94.086s attempts=2
[bench] 903871_1789062748_87542921_1789067423_US30_19703 muse_low status=ok state=REJECT elapsed=63.811s attempts=1
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 muse_high_b status=ok state=REJECT elapsed=44.514s attempts=1
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 muse_high_a status=ok state=REJECT elapsed=36.659s attempts=1
[bench] 903871_1789062748_87542921_1789064597_USDCHF_11315 muse_high_a status=ok state=REJECT elapsed=39.269s attempts=1
[bench] 903871_1789062748_87542921_1789064597_USDCHF_11315 muse_high_b status=ok state=REJECT elapsed=40.322s attempts=1
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 muse_minimal status=ok state=REJECT elapsed=61.885s attempts=1
[bench] 903871_1788999394_24185000_1789036511_XAUUSD_7721 luna_low_flex status=ok state=ABSTAIN elapsed=127.335s attempts=2
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 muse_medium status=ok state=REJECT elapsed=65.281s attempts=1
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 muse_low status=ok state=REJECT elapsed=66.235s attempts=1
[bench] 903871_1789062748_87542921_1789067423_US30_19703 luna_low_flex status=ok state=APPROVE elapsed=91.203s attempts=2
[bench] 903871_1789062748_87542921_1789064597_USDCHF_11315 muse_low status=ok state=REJECT elapsed=63.092s attempts=1
[bench] 903871_1789062748_87542921_1789064597_USDCHF_11315 muse_minimal status=ok state=REJECT elapsed=63.857s attempts=1
[bench] 903871_1789062748_87542921_1789064597_USDCHF_11315 muse_medium status=ok state=REJECT elapsed=67.786s attempts=1
[bench] 903871_1789148402_173202328_1789152868_EURNZD_21011 luna_low_flex status=ok state=REJECT elapsed=94.034s attempts=2
[bench] 903871_1788999394_24185000_1789006198_GBPUSD_2800 muse_high_b status=ok state=REJECT elapsed=43.835s attempts=1
[bench] 591813800_1788837043_120154281_1788844299_#Germany40_9560 muse_low status=ok state=REJECT elapsed=60.967s attempts=1
[bench] 591813800_1788837043_120154281_1788844299_#Germany40_9560 muse_high_a status=ok state=REJECT elapsed=59.856s attempts=1
[bench] 903871_1788999394_24185000_1789006198_GBPUSD_2800 muse_high_a status=ok state=REJECT elapsed=40.337s attempts=1
[bench] 903871_1788983285_8075437_1788988231_EURAUD_21885 muse_high_b status=ok state=ABSTAIN elapsed=779.316s attempts=5
[bench] 591813800_1788837043_120154281_1788844299_#Germany40_9560 muse_high_b status=ok state=REJECT elapsed=59.053s attempts=1
